Product_Name,Week,Year,Week_Number,Total_Quantity
CLINMISKIN GEL,2022-W01,"2,022",1,1
CLINMISKIN GEL,2022-W02,"2,022",2,0
CLINMISKIN GEL,2022-W03,"2,022",3,1
CLINMISKIN GEL,2022-W04,"2,022",4,1
CLINMISKIN GEL,2022-W05,"2,022",5,0
CLINMISKIN GEL,2022-W06,"2,022",6,2
CLINMISKIN GEL,2022-W07,"2,022",7,2
CLINMISKIN GEL,2022-W08,"2,022",8,1
CLINMISKIN GEL,2022-W09,"2,022",9,1
CLINMISKIN GEL,2022-W10,"2,022",10,1
CLINMISKIN GEL,2022-W11,"2,022",11,0
CLINMISKIN GEL,2022-W12,"2,022",12,0
CLINMISKIN GEL,2022-W13,"2,022",13,1
CLINMISKIN GEL,2022-W14,"2,022",14,1
CLINMISKIN GEL,2022-W15,"2,022",15,0
CLINMISKIN GEL,2022-W16,"2,022",16,0
CLINMISKIN GEL,2022-W17,"2,022",17,0
CLINMISKIN GEL,2022-W18,"2,022",18,0
CLINMISKIN GEL,2022-W19,"2,022",19,0
CLINMISKIN GEL,2022-W20,"2,022",20,0
CLINMISKIN GEL,2022-W21,"2,022",21,0
CLINMISKIN GEL,2022-W22,"2,022",22,0
CLINMISKIN GEL,2022-W23,"2,022",23,0
CLINMISKIN GEL,2022-W24,"2,022",24,0
CLINMISKIN GEL,2022-W25,"2,022",25,0
CLINMISKIN GEL,2022-W26,"2,022",26,0
CLINMISKIN GEL,2022-W27,"2,022",27,0
CLINMISKIN GEL,2022-W28,"2,022",28,0
CLINMISKIN GEL,2022-W29,"2,022",29,4
CLINMISKIN GEL,2022-W30,"2,022",30,0
CLINMISKIN GEL,2022-W31,"2,022",31,0
CLINMISKIN GEL,2022-W32,"2,022",32,0
CLINMISKIN GEL,2022-W33,"2,022",33,0
CLINMISKIN GEL,2022-W34,"2,022",34,1
CLINMISKIN GEL,2022-W35,"2,022",35,2
CLINMISKIN GEL,2022-W36,"2,022",36,1
CLINMISKIN GEL,2022-W37,"2,022",37,4
CLINMISKIN GEL,2022-W38,"2,022",38,0
CLINMISKIN GEL,2022-W39,"2,022",39,1
CLINMISKIN GEL,2022-W40,"2,022",40,1
CLINMISKIN GEL,2022-W41,"2,022",41,0
CLINMISKIN GEL,2022-W42,"2,022",42,0
CLINMISKIN GEL,2022-W43,"2,022",43,0
CLINMISKIN GEL,2022-W44,"2,022",44,4
CLINMISKIN GEL,2022-W45,"2,022",45,3
CLINMISKIN GEL,2022-W46,"2,022",46,1
CLINMISKIN GEL,2022-W47,"2,022",47,0
CLINMISKIN GEL,2022-W48,"2,022",48,0
CLINMISKIN GEL,2022-W49,"2,022",49,1
CLINMISKIN GEL,2022-W50,"2,022",50,2
CLINMISKIN GEL,2022-W51,"2,022",51,2
CLINMISKIN GEL,2022-W52,"2,022",52,4
CLINMISKIN GEL,2022-W53,"2,022",53,0
CLINMISKIN GEL,2023-W01,"2,023",1,3
CLINMISKIN GEL,2023-W02,"2,023",2,0
CLINMISKIN GEL,2023-W03,"2,023",3,0
CLINMISKIN GEL,2023-W04,"2,023",4,0
CLINMISKIN GEL,2023-W05,"2,023",5,0
CLINMISKIN GEL,2023-W06,"2,023",6,0
CLINMISKIN GEL,2023-W07,"2,023",7,0
CLINMISKIN GEL,2023-W08,"2,023",8,0
CLINMISKIN GEL,2023-W09,"2,023",9,0
CLINMISKIN GEL,2023-W10,"2,023",10,2
CLINMISKIN GEL,2023-W11,"2,023",11,1
CLINMISKIN GEL,2023-W12,"2,023",12,0
CLINMISKIN GEL,2023-W13,"2,023",13,1
CLINMISKIN GEL,2023-W14,"2,023",14,0
CLINMISKIN GEL,2023-W15,"2,023",15,3
CLINMISKIN GEL,2023-W16,"2,023",16,0
CLINMISKIN GEL,2023-W17,"2,023",17,0
CLINMISKIN GEL,2023-W18,"2,023",18,0
CLINMISKIN GEL,2023-W19,"2,023",19,1
CLINMISKIN GEL,2023-W20,"2,023",20,0
CLINMISKIN GEL,2023-W21,"2,023",21,2
CLINMISKIN GEL,2023-W22,"2,023",22,2
CLINMISKIN GEL,2023-W23,"2,023",23,0
CLINMISKIN GEL,2023-W24,"2,023",24,1
CLINMISKIN GEL,2023-W25,"2,023",25,1
